type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
video	post_page_159616034235	159616034235_10156047182384236	https://www.facebook.com/159616034235/posts/10156047182384236	Pumpkin has never been this Tasty! From muffins to mousse  these recipes are a snap when you get your ingredients at Walmart. Less effort = more family time. #LiveBetter	https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/23349211_10155720586804799_5256841250757148672_n.jpg?oh=05853dc396acb248418c4e5ec1d18f52&oe=5AC2EF80	https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/23349211_10155720586804799_5256841250757148672_n.jpg?oh=1bbc474e6955b47b69d0513534b4c8f9&oe=5ABB4672	https://www.facebook.com/buzzfeedtasty/videos/10155720586779799/	facebook.com	2017-11-14T01:46:50+0000	1510624010	14.11.2017 02:46	750	67	872	0	939	53	40	13	47	0	734	40	19	0	1	1	0
photo	post_page_159616034235	159616034235_10156036542274236	https://www.facebook.com/159616034235/posts/10156036542274236	For Veterans Day  join us in thanking all those who have proudly served our country. 🇺🇸 Show your support by adding the #GreenlightAVet photo filter to your profile pic. Download: http://support.greenlightavet.com/	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/23172396_2037133466519561_6383861335493269824_n.jpg?oh=90492ae3f1c56e5bbf3e7b9af188fb7c&oe=5ABB73F6	https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/23172396_2037133466519561_6383861335493269824_n.jpg?oh=e7109d960d18ef50647ba6ec92d30a60&oe=5AB9EDE3	https://www.facebook.com/WalmartToday/photos/a.1810327282533515.1073741830.1720254911540753/2037133466519561/?type=3	facebook.com	2017-11-10T23:35:22+0000	1510356922	11.11.2017 00:35	711	56	833	0	889	43	26	17	51	0	697	47	4	1	1	1	0
link	post_page_159616034235	159616034235_10156082286104236	https://www.facebook.com/159616034235/posts/10156082286104236	Count down to the hottest show of the year. Black Friday starts 6pm Thanksgiving.	https://scontent.xx.fbcdn.net/v/t1.0-1/c0.12.200.200/p200x200/555600_10150696051154236_1046183057_n.jpg?oh=dd742713aca7abcc5a60e28addff5ad8&oe=5AB4DB41	https://scontent.xx.fbcdn.net/v/t1.0-1/c0.12.200.200/p200x200/555600_10150696051154236_1046183057_n.jpg?oh=dd742713aca7abcc5a60e28addff5ad8&oe=5AB4DB41	https://www.walmart.com/store/weekly-ads?flyer_run_id=206811&flyer_type_name=ad%3Fsourceid%3Ddsn_fb_c635a8c8-80de-4527-87f3-54182b1349d2&veh=dsn&wmlspartner=dsn_fb_c635a8c8-80de-4527-87f3-54182b1349d2	walmart.com	2017-11-23T23:08:51+0000	1511478531	24.11.2017 00:08	685	492	881	62	1435	352	164	188	466	0	668	28	7	9	3	38	0
video	post_page_159616034235	159616034235_10156054649054236	https://www.facebook.com/159616034235/posts/10156054649054236	Who else is getting that pie ASAP!? From now til  Thanksgiving  get Patti LaBelle s sweet potato pie for only $2.97 - 30% off the regular price! 🙌	https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/23521692_1654483524571926_1870835492975542272_n.jpg?oh=5bffe5ddd4f5d72b4f7279de2889bb3b&oe=5AC465CE	https://scontent.xx.fbcdn.net/v/t15.0-10/23521692_1654483524571926_1870835492975542272_n.jpg?oh=652eca10966e3a72ba263513d24328ae&oe=5AB8DD65	https://www.facebook.com/PattiLaBelle/videos/1654482744572004/	facebook.com	2017-11-16T00:34:11+0000	1510792451	16.11.2017 01:34	659	303	812	0	1115	257	181	76	230	0	641	64	9	12	1	5	0
photo	post_page_159616034235	159616034235_10156121353674236	https://www.facebook.com/159616034235/posts/10156121353674236	#WinterIsComing  people. Arm yourself against the flu this season! 💪 Stop by our pharmacy for your flu shot  with no appointment needed! 👌	https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/24312370_10156121353674236_6872778982334874884_n.jpg?oh=1055c775eceab1a37c2a0889ddc2c02d&oe=5AC11EEC	https://scontent.xx.fbcdn.net/v/t31.0-8/p720x720/24210218_10156121353674236_6872778982334874884_o.jpg?oh=bacfba3855c302167bf437e0cc6da902&oe=5AC41797	https://www.facebook.com/walmart/photos/a.385715789235.163710.159616034235/10156121353674236/?type=3	facebook.com	2017-12-03T20:00:07+0000	1512331207	3.12.2017 21:00	603	315	765	57	1137	264	123	141	495	0	591	28	14	29	6	3	0
photo	post_page_159616034235	159616034235_10156125570594236	https://www.facebook.com/159616034235/posts/10156125570594236	imomsohard is sharing their top picks to #RockThisChristmas on Facebook Live this Thursday at 2pmEST/11amPST! See you then! 🎄	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/24296821_2573219242818780_898183208159712872_n.jpg?oh=391183567084b944144bf9e5ed65b082&oe=5AB71BB5	https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/24879591_2573219242818780_898183208159712872_o.jpg?oh=69e93d619dadb9be61211f417fe4dad1&oe=5ABB5FD3	https://www.facebook.com/imomsohard/photos/a.2244277005713007.1073741830.2198436406963734/2573219242818780/?type=3	facebook.com	2017-12-05T01:49:26+0000	1512438566	5.12.2017 02:49	593	142	742	0	884	100	48	52	120	0	584	36	20	7	1	4	0
link	post_page_159616034235	159616034235_10156130187749236	https://www.facebook.com/159616034235/posts/10156130187749236	We’re rooting for Nacho Figueras  just because of his sweater!👌Will he beat Ellen DeGeneres at stacking presents?	https://scontent.xx.fbcdn.net/v/t45.1600-4/c44.0.130.130/p130x130/24203090_6109984032824_4404100310457384960_n.png?oh=96a1a381d8cf166428d4f81c82dfcf31&oe=5ABB275D	https://scontent.xx.fbcdn.net/v/t45.1600-4/24203090_6109984032824_4404100310457384960_n.png?oh=8091ed6284effcb95df58cf5404fcd4d&oe=5AFE5045	https://www.ellentube.com/video/ellen-and-nacho-figueras-play-stack-your-packages.html	ellentube.com	2017-12-06T14:13:43+0000	1512569623	6.12.2017 15:13	559	106	688	38	832	83	35	48	129	0	550	38	17	10	1	0	0
video	post_page_159616034235	159616034235_10156116235134236	https://www.facebook.com/159616034235/posts/10156116235134236	Cranberries  spice and everything nice! You’ll want to sip on this cider all season long!🍷More @buzzfeedtasty inspiration: http://bzfd.it/2hFk5i3	https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/23437128_10155729912744799_4219264653412270080_n.jpg?oh=82738c00e58fc94d73d079224ef7ff33&oe=5AB7474B	https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/23437128_10155729912744799_4219264653412270080_n.jpg?oh=f9fcae2592cdf4424f83486f61ae7b5d&oe=5AD224B9	https://www.facebook.com/buzzfeedtasty/videos/10155729912629799/	facebook.com	2017-12-02T02:54:01+0000	1512183241	2.12.2017 03:54	552	91	669	0	760	37	32	5	50	0	545	39	19	11	1	5	0
video	post_page_159616034235	159616034235_10156078690454236	https://www.facebook.com/159616034235/posts/10156078690454236	Celebrating #CyberMonday with a livestream filled with our latest & greatest deals on Walmart.com to help you #RockThisChristmas - plus  a holiday performance from Hanson! 🎁	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/24134116_10156094008314236_4736440494660255744_n.jpg?oh=8b6aec463526dabd8ea7fef680d9c5bc&oe=5AC910FB	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/24134116_10156094008314236_4736440494660255744_n.jpg?oh=c0aff368fe75a1b27707b402b7a617dd&oe=5AB9E209	https://www.facebook.com/walmart/videos/10156078690454236/	facebook.com	2017-11-27T14:01:11+0000	1511791271	27.11.2017 15:01	533	628	870	126	1624	537	328	209	520	0	501	116	25	20	4	32	0
link	post_page_159616034235	159616034235_10156046100834236	https://www.facebook.com/159616034235/posts/10156046100834236	Count down to the hottest show of the year. Black Friday starts 6pm Thanksgiving.	https://scontent.xx.fbcdn.net/v/t1.0-1/c0.12.200.200/p200x200/555600_10150696051154236_1046183057_n.jpg?oh=dd742713aca7abcc5a60e28addff5ad8&oe=5AB4DB41	https://scontent.xx.fbcdn.net/v/t1.0-1/c0.12.200.200/p200x200/555600_10150696051154236_1046183057_n.jpg?oh=dd742713aca7abcc5a60e28addff5ad8&oe=5AB4DB41	https://www.walmart.com/store/weekly-ads?flyer_run_id=206811&flyer_type_name=ad%3Fsourceid%3Ddsn_fb_c635a8c8-80de-4527-87f3-54182b1349d2&veh=dsn&wmlspartner=dsn_fb_c635a8c8-80de-4527-87f3-54182b1349d2	walmart.com	2017-11-15T13:55:27+0000	1510754127	15.11.2017 14:55	482	139	583	61	783	116	42	74	123	0	471	16	6	3	3	18	0
video	post_page_159616034235	159616034235_10156067240209236	https://www.facebook.com/159616034235/posts/10156067240209236	Get your hands on the hot stuff. Black Friday starts 6pm Thanksgiving.	https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/23781262_10156067262864236_2731619670070132736_n.jpg?oh=6426da92280761f2bf8e3d62b76286fd&oe=5AB1DB6A	https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/23781262_10156067262864236_2731619670070132736_n.jpg?oh=8b337a1d603e15ee30ab3580f6071ba9&oe=5AC9F698	https://www.facebook.com/walmart/videos/10156067240209236/	facebook.com	2017-11-19T18:05:12+0000	1511114712	19.11.2017 19:05	454	479	628	131	1238	396	205	191	491	0	434	20	5	1	8	55	0
video	post_page_159616034235	159616034235_10156159604909236	https://www.facebook.com/159616034235/posts/10156159604909236	We gave this deserving Ron Clark Academy student a major home makeover to #RockThisChristmas! The Walmart family loved spreading joy to Emily and her family. #LiveBetter 💙	https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/24506324_10156159891459236_5691215018800971776_n.jpg?oh=681cd242c19b18dbba9e690135e9782b&oe=5AFEC4E1	https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/24506324_10156159891459236_5691215018800971776_n.jpg?oh=5caf7158d61bcb9912cfba3ba69174d1&oe=5AFED013	https://www.facebook.com/walmart/videos/10156159604909236/	facebook.com	2017-12-15T18:00:50+0000	1513360850	15.12.2017 19:00	404	43	475	48	566	34	24	10	21	0	398	46	8	3	0	0	0
video	post_page_159616034235	159616034235_10156162457924236	https://www.facebook.com/159616034235/posts/10156162457924236	Don’t get caught without a gift! Party with us and get gift recommendations from our Holiday Helpers today from 1–4 p.m. at your local Walmart store!	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/24508415_10156162458419236_6879995879671988224_n.jpg?oh=69e5126a815e582bdae30370e504182e&oe=5AC25B77	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/24508415_10156162458419236_6879995879671988224_n.jpg?oh=12785c02adfb60fb4384518b771b510d&oe=5AD28485	https://www.facebook.com/walmart/videos/10156162457924236/	facebook.com	2017-12-16T13:00:24+0000	1513429224	16.12.2017 14:00	364	106	426	42	574	88	41	47	157	0	358	23	8	18	1	0	0
video	post_page_159616034235	159616034235_10156134412499236	https://www.facebook.com/159616034235/posts/10156134412499236	Join us with imomsohard for some of their favorite things to help you #RockThisChristmas!	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/24280173_2574876332653071_449565307887943680_n.jpg?oh=22b117913dfc5fa78d2ea65920d6e34a&oe=5AB6BAA5	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/24280173_2574876332653071_449565307887943680_n.jpg?oh=036be1beef7627505c66a39f6b03dea0&oe=5ACFDF1F	https://www.facebook.com/imomsohard/videos/2574819885992049/	facebook.com	2017-12-07T19:01:41+0000	1512673301	7.12.2017 20:01	347	111	470	0	581	93	47	46	50	0	339	29	9	44	3	0	0
video	post_page_159616034235	159616034235_10156113833764236	https://www.facebook.com/159616034235/posts/10156113833764236	Find tons of great gifts for the family in Walmart’s weekly ad: http://bit.ly/2zBj7qW	https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/24133034_10156113835219236_57858058495197184_n.jpg?oh=f4c66c0fe232133906895738b7c51113&oe=5AFE7608	https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/24133034_10156113835219236_57858058495197184_n.jpg?oh=8ec354763df3343ca0164deb486adac6&oe=5AC216B2	https://www.facebook.com/walmart/videos/10156113833764236/	facebook.com	2017-12-01T14:00:34+0000	1512136834	1.12.2017 15:00	343	63	406	37	506	33	23	10	85	0	340	14	11	4	2	2	0
video	post_page_159616034235	159616034235_10156091046814236	https://www.facebook.com/159616034235/posts/10156091046814236	Get the lowdown on our latest & greatest http://bit.ly/1NO7vnL #CyberMonday finds - we’re streaming live TOMORROW at 9amEST on Walmart LIVE! Plus  special performances from @Hanson’s new holiday album! #RockThisChristmas	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/23902154_10156091049004236_8410655076447682560_n.jpg?oh=604a8775634bb60e45d744acb59b36e3&oe=5ABDD112	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/23902154_10156091049004236_8410655076447682560_n.jpg?oh=a469df8cf60d23a9ecb691f84e4113c8&oe=5AC2B4E0	https://www.facebook.com/walmart/videos/10156091046814236/	facebook.com	2017-11-26T14:00:53+0000	1511704853	26.11.2017 15:00	316	131	479	107	717	77	51	26	168	0	306	57	22	14	2	2	0
video	post_page_159616034235	159616034235_10156162861444236	https://www.facebook.com/159616034235/posts/10156162861444236	Bring a gift from our Holiday Entertaining Guide. You shouldn’t have  but you did anyway: http://bit.ly/2B5r3Fh	https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/24511539_10156162862479236_8577243234223259648_n.jpg?oh=1b54135761a24b4ffdf65b8318d22d35&oe=5AC73983	https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/24511539_10156162862479236_8577243234223259648_n.jpg?oh=b5f7f87b549a88570b79e6d310ff8a9b&oe=5AD08A71	https://www.facebook.com/walmart/videos/10156162861444236/	facebook.com	2017-12-16T15:00:34+0000	1513436434	16.12.2017 16:00	279	77	337	25	439	66	31	35	42	0	274	14	13	8	4	0	0
video	post_page_159616034235	159616034235_10156153861359236	https://www.facebook.com/159616034235/posts/10156153861359236	So happy we could help send some Frozen fun to Children s of Alabama this holiday! ❤	https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/24540662_10155878476045902_2263417790415241216_n.jpg?oh=34be4f8b4ba344af104f6f14ce0f0918&oe=5AD34763	https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/24540662_10155878476045902_2263417790415241216_n.jpg?oh=feae4bffafd43b16377fe3e203c0e97c&oe=5AC3CC91	https://www.facebook.com/childrenshospitalofalabama/videos/10155878463955902/	facebook.com	2017-12-13T21:08:25+0000	1513199305	13.12.2017 22:08	269	47	369	0	416	29	18	11	64	0	267	46	24	7	0	1	0
video	post_page_159616034235	159616034235_10156045230974236	https://www.facebook.com/159616034235/posts/10156045230974236	Get your hands on the hot stuff. Black Friday starts 6pm Thanksgiving. View ad: http://bit.ly/2mnUBao	https://scontent.xx.fbcdn.net/v/t15.0-10/p130x130/23521267_10156046464299236_3985482209032142848_n.jpg?oh=101194f69b3a8e6ee500fa97ffac76c3&oe=5AD0FFE0	https://scontent.xx.fbcdn.net/v/t15.0-10/p720x720/23521267_10156046464299236_3985482209032142848_n.jpg?oh=0a0de8b9865ed9c88aea8a91c7ff19ad&oe=5ABA3012	https://www.facebook.com/walmart/videos/10156045230974236/	facebook.com	2017-11-13T21:04:42+0000	1510607082	13.11.2017 22:04	269	115	333	67	515	95	58	37	69	0	261	11	2	1	8	3	0
